# City nInfected/WasteWaterPeakArea
halifax 11.630399362743377
north_battleford 0.8527415133833308
regina 13.103604011761613
saskatoon 11.914242167761403
toronto 62.546216520945876
winnipeg 18.328073486399607
metro_vancouver 76.11362184734075
british_columbia 144.02581067997602
alberta 158.0202760646886
saskatchewan 53.42976366546322
manitoba 32.815967318864004
ontario 318.37523784134015
nova_scotia 49.38808229128379
canada 1060.8820123974658
