# 76.81261450901575 64.79765279204175 1303.9369247529924
# 2021-12-01
2021-12-05 2.19666666666667 4.511384133260814 4.511384133260814
2021-12-12 1.505 8.34608540882044 8.34608540882044
2021-12-19 0.91 14.322392362908031 14.322392362908031
2021-12-26 13.525 22.798592436487702 22.798592436487702
2022-01-02 12.2933333333333 33.663574451388065 33.663574451388065
2022-01-09 59.845 46.10756072098671 46.10756072098671
2022-01-16 94.2866666666667 58.57924783984091 58.57924783984091
2022-01-23 82.7633333333333 69.03592696449888 69.03592696449888
2022-01-30 63.89 75.46859341185615 75.46859341185615
2022-02-06 57.83 76.52742072554776 76.52742072554776
2022-02-13 46.48 71.98261538653207 71.98261538653207
2022-02-20 83.3 62.8055312425894 62.8055312425894
2022-02-27 61.2366666666667 50.83091064978501 50.83091064978501
