# fFractionHospitalized, fDayOffset, fInfectionProbabilityPerEncounter, fTei, fTer
# 0.0033951214196911543 502 0.01069794117877581 2.888 10.056
# Tei/r = days from exposure to infectious/recovered
# Day 0 = 2020-01-23
# Day Susceptible Exposed Infectious Recovered Fit Data
502 37999999.0 0.0 1.0 0.0 0.0033951214196911543 0
 503 37999998.786041185 0.21395881734267377 1.0 0.0 0.0033951214196911543 0
 504 37999998.57208237 0.3922578304898166 1.0356598029908368 0.0 0.003516190780647311 0
 505 37999998.32760464 0.4227767441346032 1.2496186209358577 0.0 0.004242606946384252 0
 506 37999998.03734853 0.49907403105159864 1.4635774386800962 0.0 0.004969023111439512 0
 507 37999997.701314054 0.6198780694888429 1.6788078767546661 0.0 0.005699756581915995 0
 508 37999997.31841291 0.7735609412236626 1.908026150423916 0.0 0.006477980452635094 0
 509 37999996.88157115 0.9354060469896452 2.1830227974657404 0.0 0.007411627459350039 0
 510 37999996.380994104 1.1151627260997385 2.503843162579389 0.0 0.008500851552820524 0
 511 37999995.80684828 1.321938939075329 2.871212776686755 0.0 0.009748115998620115 0
 512 37999995.16411334 1.5466285533145936 3.1109590883477405 0.17829901495418402 0.010562083836632279 0
 513 37999994.47141786 1.7608066941416096 3.3755176108582963 0.39225783289920485 0.011460292143169713 0
 514 37999993.71477445 1.968630487170651 3.710378405993996 0.6062166498403139 0.012597185201349738 0
 515 37999992.87862001 2.1819143819921334 4.1129320263762095 0.8265335732518566 0.013963903620483612 0
 516 37999991.95438509 2.4310981456298224 4.528246000686737 1.0862707626149612 0.015373944990562346 0
 517 37999990.94013193 2.711188565102766 4.956893176452537 1.3917863246778104 0.016829254198494934 0
 518 37999989.83141804 3.0116794123273265 5.413595559189118 1.743306986973631 0.01837981424054789 0
 519 37999988.620914474 3.3273750313814956 5.908338376101551 2.1433721111450055 0.020059526175485627 0
 520 37999987.30099537 3.6631506823884767 6.435211198097891 2.600642737471347 0.021848323378898526 0
 521 37999985.86552958 4.02175978154492 6.9877889885081235 3.1249216347326905 0.023724392071165914 0
 522 37999984.3094351 4.401925619241495 7.562496721596007 3.726142549265596 0.025675594605834736 0
 523 37999982.625514016 4.802917781848129 8.188357880836191 4.3832103076466575 0.027800469233323823 0
 524 37999980.8014911 5.230366142736455 8.872144867519792 5.095997877903265 0.030122009078319384 0
 525 37999978.82564635 5.690618391431949 9.605810367656774 5.877924879437107 0.03261289253272288 0
 526 37999976.68837065 6.18751378722664 10.380547710138693 6.743567834758553 0.03524321987881784 0
 527 37999974.3804167 6.719113436835357 11.202854037990647 7.697615808602767 0.03803504970605559 0
 528 37999971.89058167 7.284513412170673 12.082003780763266 8.74290112207891 0.04101986982885887 0
 529 37999969.20609161 7.886129782708056 13.02287714750737 9.884901441378755 0.04421424914950871 0
 530 37999966.3135947 8.528295040265807 14.026710472021307 11.13139977065506 0.04762238517136576 0
 531 37999963.19931187 9.214279759539359 15.09692699539598 12.489481360000555 0.05125590021358251 0
 532 37999959.84837621 9.946614717194631 16.240133945104965 13.964875115595362 0.055137226615679276 0
 533 37999956.244291864 10.72854541387868 17.46471930631074 15.562443402915662 0.059294842605749236 0
 534 37999952.36915562 11.564382211126203 18.77436619642356 17.292095957001806 0.06374125281460317 0
 535 37999948.20452268 12.458131098434308 20.17136121706404 19.165984992855297 0.06848422053238155 0
 536 37999943.731236644 13.413032482423198 21.660661464196778 21.195069396527813 0.07354057570177325 0
 537 37999938.92869276 14.432148246337368 23.250708119496952 23.38845086463373 0.07893897715949114 0
 538 37999933.77442786 15.519660446417678 24.949836202037112 25.756075479099312 0.084707723307322 0
 539 37999928.24433423 16.680811255318496 26.765079881723953 28.309774624162483 0.09087069600618577 0
 540 37999922.3128309 17.921131233980073 28.70345731321551 31.062580538085754 0.09745172274328869 0
 541 37999915.95269826 19.24598735885175 30.77339445263274 34.02791991640358 0.10447941066273836 0
 542 37999909.13478479 20.660941548680654 32.984399755517614 37.21987389433534 0.11198604212561353 0
 543 37999901.82787054 22.17211973665286 35.346185978134265 40.65382373134536 0.12000459311875078 0
 544 37999893.99867526 23.786156400780456 37.868286474526215 44.346881856815514 0.12856743053666478 0
