# 109.87730946049072 1364.2483526347023 3020.423716541073 348.70774766695183 3456.317587606709 4607.443510015502 464.988376252048 1691.2935500986023 4264.7573510710745 627.2153276460617 3118.158755500928 2494.6647430424277 734.9106268738243 792.0888106100225 10770.740123985004 823.5330980287775 2409.4028556610965 7224.798429218683 924.2412118093627 1420.899585690438 5178.273381944789 997.1922647927332 1546.3570992423731 3931.011733701257 1067.8012554650763 4642.416946422521 3311.1848507564628 1147.9092651644476 38084.4238710791 3051.1628211817097 1418.1088878215908 7595.6471046644065 4804.095314443029
# 2020-01-23
0 2020-01-23 0.4332560982362695 0.43325609823097383 2.4238044112789586e-12 1.2879155338287476e-52 4.024638777516789e-52 8.021135213570579e-293 4.094155799484762e-119 4.201229599324423e-258 2.086108588514441e-276 7.16486733430205e-104 2.8718766705842706e-12 4.980505202496689e-112
1 2020-01-24 0.5086077521473213 0.5086077521413063 2.964857509759758e-12 2.230654439929384e-52 6.015942212423732e-52 5.123609741940456e-292 8.107137439483461e-119 1.541895351784728e-257 7.571450248493379e-276 1.1347457169115435e-103 3.050244647777592e-12 7.2340575725849685e-112
2 2020-01-25 0.5961898622832954 0.5961898622764313 3.6245890656921323e-12 3.8589010985125884e-52 8.986733152463213e-52 3.26452251205638e-291 1.6040215777687325e-118 5.65095809423839e-257 2.744476615875107e-275 1.7963950619107718e-103 3.239520666439531e-12 1.050451897696985e-111
3 2020-01-26 0.6978298120058417 0.6978298119979728 4.428558858300984e-12 6.667782639574709e-52 1.3415951455686852e-51 2.0747544877659234e-290 3.1709717809249635e-118 2.0681306887815107e-256 9.935238486555939e-275 2.8426150727130804e-103 3.4403611044822837e-12 1.5249514795509739e-111
4 2020-01-27 0.8156010413063205 0.8156010412972594 5.407727032645236e-12 1.1507623782774174e-51 2.0015320643361227e-51 1.3152768529559843e-289 6.263456252677274e-118 7.558273036573178e-256 3.5919919770622686e-274 4.496215909760712e-103 3.653461173216643e-12 2.2132044145464558e-111
5 2020-01-28 0.9518518200292382 0.951851820018759 6.599572392785067e-12 1.9837014527089285e-51 2.984180356372227e-51 8.317083496949505e-289 1.2361615186155679e-117 2.7583913267616907e-255 1.2969723556577254e-273 7.108683246881174e-103 3.879557174350286e-12 3.2112393462333938e-111
6 2020-01-29 1.1092367206538154 1.1092367206416467 8.049437415058384e-12 3.415493024763597e-51 4.446405067453724e-51 5.246000957022313e-288 2.4376754968013188e-117 1.0052588048100705e-254 4.6769678089652905e-273 1.1234249626527397e-102 4.119428885726766e-12 4.658107120070622e-111
7 2020-01-30 1.2907509467745661 1.2907509467603802 9.812144928565696e-12 5.873769897809705e-51 6.620860282484248e-51 3.3005710739459186e-287 4.803038458280528e-117 3.658378176306575e-254 1.6843655174931854e-272 1.774646585941587e-102 4.373902083005274e-12 6.75510203166704e-111
8 2020-01-31 1.499767667973577 1.4997676679569791 1.1953940111432222e-11 1.0089436023803083e-50 9.852382491476067e-51 2.0713487790288276e-286 9.455744670001534e-117 1.3294989984595789e-253 6.058241797853537e-272 2.802157795414847e-102 4.6438512048752375e-12 9.793546760151108e-111
9 2020-02-01 1.7400785035125552 1.7400785034930701 1.4554821795278885e-11 1.7310247905911002e-50 1.4651751560845872e-50 1.2966441227027346e-285 1.8600084166867976e-116 4.8247646807601416e-253 2.1761817504166467e-271 4.422686940810417e-102 4.9302021698134295e-12 1.419494570824029e-110
