# fFractionHospitalized, fDayOffset, fInfectionProbabilityPerEncounter, fTei, fTer
# 0.003771729832341777 -2 0.008989099665394107 2.888 10.056
# Tei/r = days from exposure to infectious/recovered
# Day 0 = 2020-01-23
# Day Susceptible Exposed Infectious Recovered Fit Data
-2 37999999.0 0.0 1.0 0.0 0.003771729832341777 0
 -1 37999998.82021801 0.17978198815149327 1.0 0.0 0.003771729832341777 0
 0 37999998.64043602 0.3296003106896229 1.029963664762796 0.0 0.0038847446806139028 0
 1 37999998.43910633 0.3511480171956751 1.2097456533395732 0.0 0.004562833770246661 0
 2 37999998.20545507 0.4050172855313658 1.389527641774589 0.0 0.005240922859344735 0
 3 37999997.93948226 0.4903102945098263 1.570207450556559 0.0 0.005922398284229499 0
 4 37999997.64054223 0.598694479672541 1.760763291610414 0.0 0.006641123434659301 0
 5 37999997.304438286 0.7119210243626961 1.9836406945260157 0.0 0.007481756784190934 0
 6 37999996.925359584 0.8357738604934088 2.2388665607005516 0.0 0.008444399797626703 0
 7 37999996.49747595 0.9756527354752844 2.5268713215268237 0.0 0.00953067594589161 0
 8 37999996.02550858 1.124388370557495 2.700284735386326 0.14981832381398086 0.010184744492273726 0
 9 37999995.524149664 1.261476934516645 2.8847731008631223 0.3296003123907579 0.010880584764062532 0
 10 37999994.98549842 1.38899063897807 3.1161286502404986 0.5093823002587287 0.011753195391527003 0
 11 37999994.400922075 1.5140849643315304 3.3913395784309386 0.6936533932637412 0.012791216659569357 0
 12 37999993.76616364 1.6578529341946506 3.670226496818554 0.9057569422899225 0.013843102769501792 0
 13 37999993.08119032 1.817263800511212 3.9513638417095187 1.1501820527908795 0.014903476880212402 0
 14 37999992.34484979 1.9851342553034437 4.242952732199546 1.427063234074377 0.016003271397253077 0
 15 37999991.554665565 2.1572603096535254 4.550167139150278 1.7379069979627868 0.01716200114087434 0
 16 37999990.70817048 2.3354909643599573 4.868486938502518 2.0878516277144255 0.018362617424316233 0
 17 37999989.80385426 2.5206861828450107 5.19274758566296 2.4827119868975833 0.01958564098066572 0
 18 37999988.841007344 2.7115214818759794 5.519102952388934 2.928368231262102 0.020816565253290918 0
 19 37999987.81794263 2.9070102394665778 5.866412489980737 3.408634652662119 0.022126522997282752 0
 20 37999986.73021548 3.109755281915741 6.2382923423964405 3.9217369039264702 0.023529153330685917 0
 21 37999985.57387721 3.3227525016218236 6.628341911792211 4.475028391978121 0.02500031492766801 0
 22 37999984.34635233 3.5476356832523184 7.029528235503998 5.076483765979411 0.02651348135313928 0
 23 37999983.04557589 3.782594262531622 7.44386204704824 5.727967821942194 0.028076236550688576 0
 24 37999981.66883117 4.026119431345605 7.875121555733177 6.429927858486812 0.029702830905076607 0
 25 37999980.21290635 4.278367178142631 8.324729347928088 7.183997136585597 0.03139863002775148 0
 26 37999978.67454743 4.540529083289396 8.792093701225157 7.992829807887738 0.033161402101655156 0
 27 37999977.05055343 4.813329214587283 9.277559512687256 8.858557857426629 0.03499244798532876 0
 28 37999975.337520376 5.097086025441263 9.782989532296789 9.782404087124268 0.036898793468451124 0
 29 37999973.531617105 5.39234970702491 10.311172877684674 10.764860329553235 0.038890958349196696 0
 30 37999971.62870309 5.700058166610956 10.862110102879848 11.809128663421205 0.04096894471721293 0
 31 37999969.62477266 6.020906943570241 11.434802385578806 12.919518029329561 0.043128985284620495 0
 32 37999967.51592016 6.355128943252203 12.029464122761905 14.09948679344258 0.045371888698906175 0
 33 37999965.298046045 6.702733063800931 12.647973039666383 15.35124786957552 0.0477047372323642 0
 34 37999962.96669697 7.064111860773113 13.292086504014161 16.67710468220057 0.05013415920125773 0
 35 37999960.51717132 7.440049370367594 13.962792371382005 18.079986948679476 0.05266388052993569 0
 36 37999957.94462212 7.831386627702629 14.660840542264914 19.563150723821792 0.05529672964046637 0
 37 37999955.24403849 8.238794568300495 15.387360915797151 21.129806036501645 0.058036968207122 0
 38 37999952.41017857 8.66288224889093 16.143742333828957 22.78319685623496 0.06088983456614153 0
 39 37999949.43755677 9.10433198296073 16.93125469731276 24.52685655966809 0.06386011844083138 0
